
Predictions were generated on 08-Mar-2023 at 16:55:39 using OpenFAST, compiled as a 64-bit application using single precision at commit v3.2.1
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: NREL Wind Turbine Modeling Workshop Simulation

Time	Wind1VelX	Wind1VelY	Wind1VelZ	OoPDefl1	IPDefl1	BldPitch1	Azimuth	RotSpeed	GenSpeed	TTDspFA	TTDspSS	RootMyc1	RotThrust	RotTorq	RotPwr	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	RtAeroPwr	RtAeroCp	RtAeroCt	GenPwr	GenTq
(s)	(m/s)	(m/s)	(m/s)	(m)	(m)	(deg)	(deg)	(rpm)	(rpm)	(m)	(m)	(kN-m)	(kN)	(kN-m)	(kW)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(W)	(-)	(-)	(kW)	(kN-m)
    0.0000	 8.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 6.000E+00	 5.820E+02	 0.000E+00	 0.000E+00	 6.666E+01	 6.794E+01	 5.745E-05	 3.609E-05	-1.403E+01	 2.182E-02	-6.732E+03	-4.263E-01	-3.266E+02	-6.803E-06	 1.355E+06	 3.511E-01	 5.082E-01	 4.984E+02	 8.663E+00
    0.0500	 8.000E+00	 0.000E+00	 0.000E+00	 4.314E-02	-4.372E-03	 0.000E+00	 1.801E+00	 6.005E+00	 5.752E+02	-7.598E-05	-1.251E-05	 2.312E+02	 8.765E+01	 2.344E+02	 1.474E+02	-5.473E+00	-5.459E+00	-6.742E+03	 8.898E+01	-9.925E+01	-6.308E+01	 1.152E+06	 3.711E-01	 5.630E-01	 4.811E+02	 8.462E+00
    0.1000	 8.000E+00	 0.000E+00	 0.000E+00	 1.627E-01	-2.171E-02	 0.000E+00	 3.600E+00	 5.985E+00	 5.717E+02	-2.445E-04	-1.051E-04	 5.300E+02	 1.076E+02	 6.461E+02	 4.049E+02	 1.325E+01	-6.080E+00	-6.762E+03	 1.329E+01	 4.091E+02	-3.477E+01	 9.752E+05	 3.843E-01	 6.072E-01	 4.724E+02	 8.359E+00
    0.1500	 8.000E+00	 0.000E+00	 0.000E+00	 3.444E-01	-5.862E-02	 0.000E+00	 5.391E+00	 5.955E+00	 5.718E+02	-3.320E-04	-3.631E-04	 9.872E+02	 1.405E+02	 9.773E+02	 6.095E+02	 2.868E+01	 1.190E+01	-6.792E+03	-5.283E+02	 8.408E+02	 3.628E+01	 8.346E+05	 3.912E-01	 6.370E-01	 4.728E+02	 8.363E+00
    0.2000	 8.000E+00	 0.000E+00	 0.000E+00	 5.753E-01	-1.100E-01	 0.000E+00	 7.176E+00	 5.952E+00	 5.743E+02	-8.749E-05	-8.253E-04	 1.534E+03	 1.820E+02	 1.159E+03	 7.227E+02	 3.028E+01	 4.142E+01	-6.827E+03	-1.320E+03	 9.317E+02	-1.336E+01	 7.460E+05	 4.005E-01	 6.579E-01	 4.788E+02	 8.434E+00
    0.2500	 8.000E+00	 0.000E+00	 0.000E+00	 8.442E-01	-1.603E-01	 0.000E+00	 8.966E+00	 5.985E+00	 5.779E+02	 7.621E-04	-1.469E-03	 2.097E+03	 2.252E+02	 1.283E+03	 8.039E+02	 1.885E+01	 5.881E+01	-6.864E+03	-1.746E+03	 7.337E+02	-6.787E+01	 7.068E+05	 4.156E-01	 6.732E-01	 4.881E+02	 8.543E+00
    0.3000	 8.000E+00	 0.000E+00	 0.000E+00	 1.139E+00	-1.987E-01	 0.000E+00	 1.077E+01	 6.023E+00	 5.826E+02	 2.461E-03	-2.252E-03	 2.624E+03	 2.634E+02	 1.383E+03	 8.725E+02	 6.007E+00	 5.032E+01	-6.897E+03	-1.448E+03	 5.951E+02	-1.000E+02	 7.028E+05	 4.312E-01	 6.829E-01	 4.999E+02	 8.681E+00
    0.3500	 8.000E+00	 0.000E+00	 0.000E+00	 1.446E+00	-2.288E-01	 0.000E+00	 1.258E+01	 6.038E+00	 5.876E+02	 5.201E-03	-3.144E-03	 3.083E+03	 2.923E+02	 1.365E+03	 8.634E+02	 5.393E+00	 2.543E+01	-6.925E+03	-6.628E+02	 9.137E+02	-1.999E+02	 7.205E+05	 4.394E-01	 6.849E-01	 5.129E+02	 8.830E+00
    0.4000	 8.000E+00	 0.000E+00	 0.000E+00	 1.749E+00	-2.601E-01	 0.000E+00	 1.439E+01	 6.033E+00	 5.913E+02	 9.117E-03	-4.102E-03	 3.463E+03	 3.115E+02	 1.146E+03	 7.239E+02	 2.222E+01	 3.288E+00	-6.943E+03	 1.038E+02	 1.848E+03	-2.630E+02	 7.541E+05	 4.380E-01	 6.788E-01	 5.228E+02	 8.943E+00
    0.4500	 8.000E+00	 0.000E+00	 0.000E+00	 2.033E+00	-2.962E-01	 0.000E+00	 1.620E+01	 6.030E+00	 5.923E+02	 1.430E-02	-5.052E-03	 3.769E+03	 3.243E+02	 8.026E+02	 5.068E+02	 4.954E+01	-6.752E+00	-6.950E+03	 5.679E+02	 3.216E+03	-2.042E+02	 8.048E+05	 4.304E-01	 6.667E-01	 5.254E+02	 8.973E+00
    0.5000	 8.000E+00	 0.000E+00	 0.000E+00	 2.283E+00	-3.330E-01	 0.000E+00	 1.801E+01	 6.039E+00	 5.903E+02	 2.080E-02	-5.903E-03	 4.012E+03	 3.355E+02	 5.287E+02	 3.344E+02	 7.406E+01	-9.212E+00	-6.947E+03	 7.959E+02	 4.656E+03	-1.214E+02	 8.749E+05	 4.218E-01	 6.519E-01	 5.201E+02	 8.913E+00
    0.5500	 8.000E+00	 0.000E+00	 0.000E+00	 2.489E+00	-3.674E-01	 0.000E+00	 1.982E+01	 6.050E+00	 5.868E+02	 2.864E-02	-6.581E-03	 4.209E+03	 3.485E+02	 4.554E+02	 2.885E+02	 8.665E+01	-1.150E+01	-6.934E+03	 9.485E+02	 5.916E+03	-3.512E+01	 9.613E+05	 4.137E-01	 6.349E-01	 5.108E+02	 8.806E+00
    0.6000	 8.000E+00	 0.000E+00	 0.000E+00	 2.644E+00	-4.028E-01	 0.000E+00	 2.164E+01	 6.046E+00	 5.835E+02	 3.782E-02	-7.067E-03	 4.380E+03	 3.641E+02	 5.557E+02	 3.519E+02	 8.908E+01	-1.334E+01	-6.913E+03	 1.022E+03	 7.043E+03	 1.065E+02	 1.056E+06	 4.052E-01	 6.158E-01	 5.023E+02	 8.708E+00
    0.6500	 8.000E+00	 0.000E+00	 0.000E+00	 2.749E+00	-4.439E-01	 0.000E+00	 2.345E+01	 6.035E+00	 5.816E+02	 4.831E-02	-7.396E-03	 4.531E+03	 3.800E+02	 7.255E+02	 4.585E+02	 9.213E+01	-9.113E+00	-6.887E+03	 8.949E+02	 8.333E+03	 2.539E+02	 1.153E+06	 3.967E-01	 5.952E-01	 4.975E+02	 8.653E+00
    0.7000	 8.000E+00	 0.000E+00	 0.000E+00	 2.806E+00	-4.880E-01	 0.000E+00	 2.526E+01	 6.038E+00	 5.815E+02	 6.008E-02	-7.639E-03	 4.657E+03	 3.933E+02	 9.139E+02	 5.778E+02	 1.069E+02	 2.361E+00	-6.859E+03	 5.566E+02	 1.009E+04	 3.657E+02	 1.252E+06	 3.901E-01	 5.744E-01	 4.970E+02	 8.647E+00
    0.7500	 8.000E+00	 0.000E+00	 0.000E+00	 2.824E+00	-5.247E-01	 0.000E+00	 2.707E+01	 6.063E+00	 5.831E+02	 7.309E-02	-7.882E-03	 4.744E+03	 4.013E+02	 1.135E+03	 7.208E+02	 1.365E+02	 1.553E+01	-6.833E+03	 1.643E+02	 1.240E+04	 4.724E+02	 1.349E+06	 3.853E-01	 5.544E-01	 5.013E+02	 8.696E+00
    0.8000	 8.000E+00	 0.000E+00	 0.000E+00	 2.809E+00	-5.443E-01	 0.000E+00	 2.890E+01	 6.102E+00	 5.869E+02	 8.727E-02	-8.233E-03	 4.774E+03	 4.031E+02	 1.376E+03	 8.794E+02	 1.742E+02	 2.512E+01	-6.811E+03	-1.221E+02	 1.506E+04	 5.448E+02	 1.425E+06	 3.775E-01	 5.365E-01	 5.111E+02	 8.809E+00
    0.8500	 8.000E+00	 0.000E+00	 0.000E+00	 2.769E+00	-5.457E-01	 0.000E+00	 3.073E+01	 6.136E+00	 5.925E+02	 1.025E-01	-8.803E-03	 4.730E+03	 3.997E+02	 1.550E+03	 9.957E+02	 2.087E+02	 3.067E+01	-6.795E+03	-2.548E+02	 1.776E+04	 5.468E+02	 1.488E+06	 3.696E-01	 5.208E-01	 5.259E+02	 8.979E+00
    0.9000	 8.000E+00	 0.000E+00	 0.000E+00	 2.709E+00	-5.344E-01	 0.000E+00	 3.258E+01	 6.161E+00	 5.989E+02	 1.186E-01	-9.684E-03	 4.618E+03	 3.932E+02	 1.558E+03	 1.005E+03	 2.333E+02	 3.317E+01	-6.787E+03	-2.273E+02	 2.029E+04	 5.334E+02	 1.541E+06	 3.631E-01	 5.083E-01	 5.430E+02	 9.173E+00
    0.9500	 8.000E+00	 0.000E+00	 0.000E+00	 2.632E+00	-5.159E-01	 0.000E+00	 3.443E+01	 6.184E+00	 6.043E+02	 1.353E-01	-1.092E-02	 4.460E+03	 3.859E+02	 1.395E+03	 9.035E+02	 2.511E+02	 3.032E+01	-6.788E+03	 2.952E+01	 2.269E+04	 5.224E+02	 1.578E+06	 3.572E-01	 4.997E-01	 5.580E+02	 9.340E+00
